"Country/Region","WHORegion","SumofConfirmed","Sum_of_Active","Sum_of_Deaths/100Cases","Sum_of_Recovered/100Cases","Population"
"Malta","Europe","701","27","1.28","94.86",""
"San Marino","Europe","699","0","6.01","93.99",""
"Syria","Eastern Mediterranean","674","634","5.93","0",""
"Tanzania","Africa","509","305","4.13","35.95",""
"Lesotho","Africa","505","365","2.38","25.35",""
"Taiwan*","Western Pacific","462","15","1.52","95.24","23816775"
"Vietnam","Western Pacific","431","66","0","84.69","97338579"
"Guyana","Americas","389","188","5.14","46.53",""
"Bahamas","Americas","382","280","2.88","23.82",""
"Burundi","Africa","378","76","0.26","79.63",""
"Comoros","Africa","354","19","1.98","92.66",""
"Burma","South-East Asia","350","52","1.71","83.43","54409800"
"Mauritius","Africa","344","2","2.91","96.51",""
"Gambia","Africa","326","252","2.45","20.25",""
"Mongolia","Western Pacific","289","67","0","76.82",""
"Eritrea","Africa","265","74","0","72.08",""
"Cambodia","Western Pacific","226","79","0","65.04",""
"Trinidad and Tobago","Americas","148","12","5.41","86.49",""
"Brunei","Western Pacific","141","0","2.13","97.87",""
"Monaco","Europe","116","8","3.45","89.66",""
"Seychelles","Africa","114","75","0","34.21",""
"Barbados","Americas","110","9","6.36","85.45",""
"Bhutan","South-East Asia","99","13","0","86.87","771608"
"Antigua and Barbuda","Americas","86","18","3.49","75.58",""
"Liechtenstein","Europe","86","4","1.16","94.19",""
"Papua New Guinea","Western Pacific","62","51","0","17.74",""
"Saint Vincent and the Grenadines","Americas","52","13","0","75",""
"Belize","Americas","48","20","4.17","54.17",""
"Fiji","Western Pacific","27","9","0","66.67",""
"Saint Lucia","Americas","24","2","0","91.67",""
"Timor-Leste","South-East Asia","24","24","0","0","1318445"
"Grenada","Americas","23","0","0","100",""
"Laos","Western Pacific","20","1","0","95",""
"Dominica","Americas","18","0","0","100",""
"Saint Kitts and Nevis","Americas","17","2","0","88.24",""
"Greenland","Europe","14","1","0","92.86",""
"Holy See","Europe","12","0","0","100",""
"Western Sahara","Africa","10","1","10","80",""
