"Country/Region","WHORegion","Sum_of_Confirmed","Sum_of_Active","Sum_of_Deaths/100Cases","Sum_of_Recovered/100Cases","Population"
"Botswana","Africa","739","674","0","8.53",""
"Malta","Europe","701","27","1","94.86",""
"San Marino","Europe","699","0","6","93.99",""
"Syria","Eastern Mediterranean","674","634","6","0.00",""
"Tanzania","Africa","509","305","4","35.95",""
"Lesotho","Africa","505","365","2","25.35",""
"Taiwan*","Western Pacific","462","15","2","95.24","23,816,775"
"Vietnam","Western Pacific","431","66","0","84.69","97,338,579"
"Guyana","Americas","389","188","5","46.53",""
"Bahamas","Americas","382","280","3","23.82",""
"Burundi","Africa","378","76","0","79.63",""
"Comoros","Africa","354","19","2","92.66",""
"Burma","South-East Asia","350","52","2","83.43","54,409,800"
"Mauritius","Africa","344","2","3","96.51",""
"Gambia","Africa","326","252","2","20.25",""
"Mongolia","Western Pacific","289","67","0","76.82",""
"Eritrea","Africa","265","74","0","72.08",""
"Cambodia","Western Pacific","226","79","0","65.04",""
"Trinidad and Tobago","Americas","148","12","5","86.49",""
"Brunei","Western Pacific","141","0","2","97.87",""
"Monaco","Europe","116","8","3","89.66",""
"Seychelles","Africa","114","75","0","34.21",""
"Barbados","Americas","110","9","6","85.45",""
"Bhutan","South-East Asia","99","13","0","86.87","771,608"
"Antigua and Barbuda","Americas","86","18","3","75.58",""
"Liechtenstein","Europe","86","4","1","94.19",""
"Papua New Guinea","Western Pacific","62","51","0","17.74",""
"Saint Vincent and the Grenadines","Americas","52","13","0","75.00",""
"Belize","Americas","48","20","4","54.17",""
"Fiji","Western Pacific","27","9","0","66.67",""
"Saint Lucia","Americas","24","2","0","91.67",""
"Timor-Leste","South-East Asia","24","24","0","0.00","1,318,445"
"Grenada","Americas","23","0","0","100.00",""
"Laos","Western Pacific","20","1","0","95.00",""
"Dominica","Americas","18","0","0","100.00",""
"Saint Kitts and Nevis","Americas","17","2","0","88.24",""
"Greenland","Europe","14","1","0","92.86",""
"Holy See","Europe","12","0","0","100.00",""
"Western Sahara","Africa","10","1","10","80.00",""
